Most Informative Features
('\xe2', '\x80\x9c', 'throw') = True           conser : libert =      5.0 : 1.0
('saudi', 'arabia', 'turkey') = True           conser : libert =      5.0 : 1.0
('o\xe2', '\x80\x99', 'reilly') = True           conser : libert =      5.0 : 1.0
('governor', 'scott', 'walker') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'u') = True           conser : libert =      5.0 : 1.0
('rate', '35', 'percent') = True           conser : libert =      5.0 : 1.0
('became', 'secretary', 'state') = True           conser : libert =      5.0 : 1.0
('fair', 'share\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
('it\xe2', '\x80\x99', 'highly') = True           conser : libert =      5.0 : 1.0
('republican', 'primary', 'debate') = True           conser : libert =      5.0 : 1.0
('\xe2', '\x80\x94', 'say') = True           conser : libert =      5.0 : 1.0
('questions', '\xe2', '\x80\x9d') = True           conser : libert =      5.0 : 1.0
